annotation	emp_pval	enrich_per_mean_diff_by_genomstd	error	matched_25th	matched_5th	matched_75th	matched_95th	mean_matched_across_trait_loci	mean_trait_loci	median_matched_loci	median_trait_loci	n_lead_loci_final	n_lead_snp	n_matched_sets	partition_id	percent_matched_and_ld_removed	percent_trait_and_ld_snps_removed	regions_summary	std_matched_across_trait_loci	trait_name	trait_summary
phyloP100	0.0	0.37891731631439357	False	-0.08281120033539731	-0.12018162643257742	-0.030954645135566193	0.006656164178020613	-0.057031497302739785	0.30440813362381985	-0.05762175144443185	0.155	1377	1381	5000	(-0.165814, -0.02140582]	4.2902248126561195	0.19428254232583958	extreme	0.03852430159120617	bolt_ht	mean
phyloP100	0.0	0.21445898815477435	False	-0.15032804659426283	-0.19096876800689402	-0.09311034383403766	-0.05300704679872072	-0.12222008795609447	0.08234690909090907	-0.12243593899608779	-0.035	1375	1380	5000	(-0.02140582, -0.01169522]	4.341276781810232	0.2295583734149541	extreme	0.04219662271081195	bolt_ht	mean
phyloP100	0.0	0.23272003693503007	False	-0.16946875	-0.2063721303233915	-0.11479291658434743	-0.07650728587686692	-0.14163694548726266	0.08034880348078319	-0.1418211661895499	-0.002	1379	1381	5000	(-0.01169522, 0.011322640000000004]	5.277408479053969	0.26418417410995093	extreme	0.039613154574764615	bolt_ht	mean
phyloP100	0.0	0.3463571537926692	False	-0.14763755939795103	-0.18780391247905054	-0.08865017498433575	-0.04544726948655042	-0.11747388216892252	0.2129074344023324	-0.11750474666296182	0.10650000000000001	1372	1380	5000	(0.011322640000000004, 0.02013272]	3.951899213791797	0.38836790754949324	extreme	0.04354012333150568	bolt_ht	mean
phyloP100	0.0	0.4431596355640797	False	-0.08601739926739926	-0.12514280230888133	-0.033076846530566445	0.006041798239714199	-0.0593769524386458	0.3633417997097242	-0.058840205335610664	0.1815	1378	1381	5000	(0.02013272, 0.141562]	4.181923024243255	0.27393507738665934	extreme	0.03943418623157722	bolt_ht	mean
xpehh_afr2_eas	0.2334	0.02206174507931266	False	-0.12685218200880288	-0.15715207256055114	-0.08264438802521103	-0.04818218066790557	-0.10449584571212213	-0.08068947913112319	-0.10525016473580703	0.00804507070258103	1359	1381	5000	(-0.165814, -0.02140582]	13.639869553150152	1.679156258673328	extreme	0.033187232391240724	bolt_ht	mean
xpehh_afr2_eas	0.0026	0.09861991272231041	False	-0.23241600285003494	-0.2676870086123206	-0.1818117478396036	-0.14633276479780497	-0.20651276784650444	-0.10009408763725108	-0.20621487084073822	-0.120886365969187	1356	1380	5000	(-0.02140582, -0.01169522]	14.747993003935287	2.240926978574552	extreme	0.03739889608902905	bolt_ht	mean
xpehh_afr2_eas	0.4044	0.008907087631239012	False	-0.26874576095427904	-0.30580487632448794	-0.2184686935704639	-0.18439714120740264	-0.24435232607123095	-0.23474087454932968	-0.24411710255239377	-0.26937171321844394	1359	1381	5000	(-0.01169522, 0.011322640000000004]	16.06625990690653	2.616681343565228	extreme	0.03772358905072497	bolt_ht	mean
xpehh_afr2_eas	0.003	0.09304099585100896	False	-0.24632143087374753	-0.2830555884698969	-0.1949864887911258	-0.15873520475173558	-0.22094933993160584	-0.12055075195375362	-0.22126295761261378	-0.08861221367268216	1356	1380	5000	(0.011322640000000004, 0.02013272]	14.55498342332102	2.169176849483755	extreme	0.03779818259105715	bolt_ht	mean
xpehh_afr2_eas	0.0414	0.05573940134743358	False	-0.1406519718909469	-0.17308029191702654	-0.09409493678472655	-0.05991104413133861	-0.11737867710737473	-0.05723145771416744	-0.11740801364947831	0.0117327900315926	1363	1381	5000	(0.02013272, 0.141562]	13.440008218052322	2.451718942610601	extreme	0.03417105684825242	bolt_ht	mean
linsigh	0.0	0.7492179158060005	False	0.09295971674826467	0.08944265955593625	0.09787111608631799	0.10167854789980141	0.09544706525839129	0.1629948526986507	0.09535295666062106	0.05323750000000001	1334	1381	5000	(-0.165814, -0.02140582]	3.6415459339439358	2.12323064113239	extreme	0.0037313667540099177	bolt_ht	mean
linsigh	0.0	0.6038895676520303	False	0.10163295726348165	0.0977808526294755	0.10706710355500534	0.11108496599125109	0.10433394605343915	0.1587792593495935	0.1042807249182805	0.0602398	1353	1380	5000	(-0.02140582, -0.01169522]	3.7985439440314823	1.3336248360297331	extreme	0.004022688997856681	bolt_ht	mean
linsigh	0.0	0.5569937213717707	False	0.0941834997491573	0.09042533380495257	0.09923546965192169	0.10301161560969264	0.09673134632873501	0.1469486365230095	0.09672773723651568	0.0579145	1369	1381	5000	(-0.01169522, 0.011322640000000004]	4.6789357151843	0.96867530506982	extreme	0.0038189696924773174	bolt_ht	mean
linsigh	0.0	0.6618720821207713	False	0.10617635107871637	0.10224159634437245	0.11180333773936742	0.11598032068419661	0.10902519532581986	0.16869808057395144	0.10899200823749197	0.063108	1359	1380	5000	(0.011322640000000004, 0.02013272]	3.4230993653500046	1.2692999905276119	extreme	0.004202160644663101	bolt_ht	mean
linsigh	0.0	0.5546493910676065	False	0.09522101034303998	0.09171142484571478	0.10024758091789669	0.1041119010787932	0.09779785465449178	0.14780378534743202	0.09773074253703949	0.05447210000000001	1324	1381	5000	(0.02013272, 0.141562]	3.6358060539652106	2.3832351732639365	extreme	0.0037668359020552717	bolt_ht	mean
fst_eas_afr	0.1088	0.03619302387794837	False	0.09636298360878065	0.09250819906431702	0.10179512382908121	0.10589892946715057	0.09907391519142968	0.10422177025548551	0.0990446745713916	0.030753	793	1381	5000	(-0.165814, -0.02140582]	13.777879544823756	14.43241742991951	extreme	0.0041199803232135745	bolt_ht	mean
fst_eas_afr	0.0	0.1262069733441388	False	0.1419783266015891	0.13795677929500758	0.1476290296104185	0.15155857429981012	0.14481724680653585	0.16276808752765698	0.14476242478994322	0.1063855	1306	1380	5000	(-0.02140582, -0.01169522]	4.146947966768693	1.0822037603847836	extreme	0.004176470259540591	bolt_ht	mean
fst_eas_afr	0.0	0.1621072967266528	False	0.16016934015947792	0.15617832582320715	0.16611678827069468	0.17056401566414903	0.16323590466468066	0.18629296867759249	0.16320572029000402	0.131047	1379	1381	5000	(-0.01169522, 0.011322640000000004]	4.164732670776198	0.0629009938357026	extreme	0.004358891811061807	bolt_ht	mean
fst_eas_afr	0.0002	0.10285455355922662	False	0.14681550146634126	0.1429669167433472	0.1524311204614775	0.15634846286152015	0.14963659867163132	0.16426594647596518	0.14958634047547656	0.112726	1321	1380	5000	(0.011322640000000004, 0.02013272]	3.4346177891446437	0.7483186511319504	extreme	0.004109455766643355	bolt_ht	mean
fst_eas_afr	0.449	0.00302978112998157	False	0.10192177670319152	0.09796536376113021	0.10739777958426017	0.11154296906610228	0.10465081995787409	0.10508175588037542	0.10455020315738411	0.032213599999999995	879	1381	5000	(0.02013272, 0.141562]	12.451883303657034	10.820435556773045	extreme	0.004107589951897633	bolt_ht	mean
fst_eur_eas	0.0652	0.028212450559864644	False	0.04477275915264121	0.04326330503325276	0.047091344660731886	0.04881627438724638	0.0459510938450975	0.0485588245146995	0.045912899875029674	0.0268492	1381	1381	5000	(-0.165814, -0.02140582]	2.8983680266444627	0.0	extreme	0.0016905109260511092	bolt_ht	mean
